StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q12,Q62,Q64,Q66,RatingBlock_DO
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"I consent to the use of my responses in a summarized for form in research reports, presentations, and/or publications.",Please rate this passage on a scale of very liberal to very conservative.,Was this text AI-generated or human-generated?,How confident are you in your answer to the previous question on a scale of very confident to very unconfident?,Rating Block - Display Order
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID12""}","{""ImportId"":""QID62""}","{""ImportId"":""QID64""}","{""ImportId"":""QID66""}","{""ImportId"":""BL_23QdcfHiveEwWcC_DO""}"
12/12/2024 15:50,12/12/2024 15:50,Survey Preview,,100,17,TRUE,12/12/2024 15:50,R_7BQ0m5ItAbohZy0,,,,,42.3737,-71.1284,preview,EN,I Agree,Liberal,Human-generated,Neutral,Q98|Q74|Q62
12/12/2024 16:04,12/12/2024 16:05,IP Address,107.180.162.68,100,55,TRUE,12/12/2024 16:05,R_6QEDoIsieQ34ZrS,,,,,37.751,-97.822,anonymous,EN,I Agree,Very liberal,AI-generated,Very confident,Q98|Q74|Q62
12/12/2024 16:04,12/12/2024 16:05,IP Address,83.191.109.98,100,61,TRUE,12/12/2024 16:05,R_2ruHjSRORPnYzoO,,,,,57.7065,11.967,anonymous,EN,I Agree,Conservative,AI-generated,Somewhat unconfident,Q98|Q83|Q62
12/12/2024 16:04,12/12/2024 16:05,IP Address,213.134.183.17,100,49,TRUE,12/12/2024 16:05,R_22RNJQTz2J4KLay,,,,,52.2376,20.9937,anonymous,EN,I Agree,Neutral,AI-generated,Very confident,Q98|Q79|Q62
12/12/2024 16:04,12/12/2024 16:05,IP Address,83.31.176.234,100,23,TRUE,12/12/2024 16:05,R_8GqwLDCz2O59RYZ,,,,,51.2434,22.5487,anonymous,EN,I Agree,Conservative,Human-generated,Somewhat unconfident,Q98|Q69|Q62
12/12/2024 16:04,12/12/2024 16:05,IP Address,79.117.152.45,100,27,TRUE,12/12/2024 16:05,R_8VkbClgIFvCYOVr,,,,,42.8198,-1.6374,anonymous,EN,I Agree,Conservative,AI-generated,Very confident,Q98|Q74|Q62
12/12/2024 16:04,12/12/2024 16:05,IP Address,88.207.58.229,100,75,TRUE,12/12/2024 16:05,R_2MzLFFwBfZ6tmRQ,,,,,43.5098,16.4411,anonymous,EN,I Agree,Conservative,AI-generated,Somewhat confident,Q98|Q80|Q62
12/12/2024 16:05,12/12/2024 16:05,IP Address,85.243.140.252,100,29,TRUE,12/12/2024 16:05,R_2PYFUpKWiaugbYS,,,,,38.7584,-9.2495,anonymous,EN,I Agree,Liberal,AI-generated,Somewhat confident,Q98|Q89|Q62
12/12/2024 16:05,12/12/2024 16:05,IP Address,91.232.164.120,100,24,TRUE,12/12/2024 16:05,R_2CO6HO7jwS0SCgQ,,,,,50.1881,20.2803,anonymous,EN,I Agree,Liberal,Human-generated,Somewhat confident,Q98|Q85|Q62
12/12/2024 16:04,12/12/2024 16:05,IP Address,92.11.111.107,100,63,TRUE,12/12/2024 16:05,R_29TJdJwS8sPvBKx,,,,,51.4098,-0.0249,anonymous,EN,I Agree,Very conservative,Human-generated,Neutral,Q98|Q96|Q62
12/12/2024 16:05,12/12/2024 16:05,IP Address,189.157.67.150,100,39,TRUE,12/12/2024 16:05,R_3wnpaaCBAs8aPa1,,,,,22.1608,-100.9657,anonymous,EN,I Agree,Conservative,AI-generated,Somewhat confident,Q98|Q69|Q62
12/12/2024 16:05,12/12/2024 16:05,IP Address,75.152.219.25,100,25,TRUE,12/12/2024 16:05,R_5Y7isijMvmRyVuF,,,,,51.0455,-114.1988,anonymous,EN,I Agree,Conservative,Human-generated,Somewhat confident,Q98|Q91|Q62
12/12/2024 16:05,12/12/2024 16:05,IP Address,5.249.62.128,100,45,TRUE,12/12/2024 16:05,R_2P5bY3d7VKSg2rv,,,,,38.752,-9.2279,anonymous,EN,I Agree,Neutral,Human-generated,Neutral,Q98|Q82|Q62
12/12/2024 16:05,12/12/2024 16:05,IP Address,190.95.47.74,100,45,TRUE,12/12/2024 16:05,R_35XxYLtXAxOk2r8,,,,,-36.8335,-73.0487,anonymous,EN,I Agree,Conservative,Human-generated,Somewhat confident,Q98|Q93|Q62
12/12/2024 16:04,12/12/2024 16:06,IP Address,84.65.70.34,100,80,TRUE,12/12/2024 16:06,R_2b13fOAAwVbeuwh,,,,,51.532,0.0884,anonymous,EN,I Agree,Very conservative,Human-generated,Neutral,Q98|Q67|Q62
12/12/2024 16:05,12/12/2024 16:06,IP Address,80.102.138.232,100,23,TRUE,12/12/2024 16:06,R_2D5nc2QuG2fzICz,,,,,39.2796,-0.4296,anonymous,EN,I Agree,Liberal,Human-generated,Somewhat confident,Q98|Q80|Q62
