StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q12,Q62,Q64,Q66,RatingBlock_DO
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"I consent to the use of my responses in a summarized for form in research reports, presentations, and/or publications.",Please rate this passage on a scale of very liberal to very conservative.,Was this text AI-generated or human-generated?,How confident are you in your answer to the previous question on a scale of very confident to very unconfident?,Rating Block - Display Order
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID12""}","{""ImportId"":""QID62""}","{""ImportId"":""QID64""}","{""ImportId"":""QID66""}","{""ImportId"":""BL_23QdcfHiveEwWcC_DO""}"
12/12/2024 15:54,12/12/2024 15:54,IP Address,65.112.8.58,100,11,TRUE,12/12/2024 15:54,R_3KZvHUJT4vcjBEI,,,,,42.3737,-71.1284,anonymous,EN,I Agree,Liberal,Human-generated,Neutral,Q15|Q21|Q62
12/12/2024 15:59,12/12/2024 16:00,IP Address,66.26.7.126,100,59,TRUE,12/12/2024 16:00,R_1PAyghw8oadlykh,,,,,35.8015,-80.8967,anonymous,EN,I Agree,Conservative,AI-generated,Very confident,Q15|Q23|Q62
12/12/2024 16:03,12/12/2024 16:04,IP Address,83.31.176.234,100,20,TRUE,12/12/2024 16:04,R_2qPvjKY5gHLVU8f,,,,,51.2434,22.5487,anonymous,EN,I Agree,Liberal,Human-generated,Somewhat unconfident,Q15|Q26|Q62
12/12/2024 16:03,12/12/2024 16:04,IP Address,75.152.219.25,100,43,TRUE,12/12/2024 16:04,R_540mT4sBKJ7hzID,,,,,51.0455,-114.1988,anonymous,EN,I Agree,Conservative,AI-generated,Neutral,Q15|Q56|Q62
12/12/2024 16:03,12/12/2024 16:04,IP Address,83.31.86.113,100,52,TRUE,12/12/2024 16:04,R_8FCE89vVMItGf6w,,,,,52.2296,21.0067,anonymous,EN,I Agree,Conservative,Human-generated,Somewhat confident,Q15|Q29|Q62
12/12/2024 16:03,12/12/2024 16:04,IP Address,79.117.152.45,100,34,TRUE,12/12/2024 16:04,R_8rwFqWsBjgDrgBx,,,,,42.8198,-1.6374,anonymous,EN,I Agree,Conservative,AI-generated,Neutral,Q15|Q42|Q62
12/12/2024 16:03,12/12/2024 16:04,IP Address,72.139.192.107,100,44,TRUE,12/12/2024 16:04,R_6Etwvwa1KWyrex2,,,,,43.7387,-79.7271,anonymous,EN,I Agree,Conservative,AI-generated,Somewhat confident,Q15|Q52|Q62
12/12/2024 16:04,12/12/2024 16:04,IP Address,91.232.164.120,100,22,TRUE,12/12/2024 16:04,R_2fIRQ0mSrUoZv3t,,,,,50.1881,20.2803,anonymous,EN,I Agree,Liberal,Human-generated,Neutral,Q15|Q50|Q62
12/12/2024 16:03,12/12/2024 16:04,IP Address,31.217.165.36,100,48,TRUE,12/12/2024 16:04,R_2ExU4saw44IMfpt,,,,,37.9842,23.7353,anonymous,EN,I Agree,Conservative,Human-generated,Somewhat confident,Q15|Q37|Q62
12/12/2024 16:04,12/12/2024 16:04,IP Address,85.243.140.252,100,36,TRUE,12/12/2024 16:04,R_8YrWFJkF8hh5xPP,,,,,38.7584,-9.2495,anonymous,EN,I Agree,Liberal,AI-generated,Somewhat confident,Q15|Q20|Q62
