Q62,Q64,Q66
-1.0,0.0,1.0
-0.5,0.5,0.75
0.5,0.375,1.5
0.5,0.5,1.0
-0.2,0.6,0.6
0.0,1.0,2.0
0.5,0.3333333333333333,0.6666666666666666
0.0,0.0,1.5
0.0,0.25,0.75
1.0,0.0,1.0
0.25,1.0,1.25
0.4,0.2,1.2
-1.0,1.0,1.0
-1.0,1.0,0.0
1.0,0.0,1.0
0.5,0.5,1.3333333333333333
1.0,1.0,2.0
-0.25,0.5,0.5
0.125,0.625,1.125
0.0,0.0,2.0
1.0,0.0,0.0
1.2,0.6,0.4
0.6666666666666666,0.3333333333333333,0.3333333333333333
1.1666666666666667,0.6666666666666666,0.5
1.0,0.5,0.5
0.0,1.0,1.0
-0.6,0.2,0.8
2.0,1.0,0.0
-0.8,0.4,-0.4
-1.0,0.0,1.0
0.0,0.5,1.0
0.0,0.0,1.5
0.25,0.5,0.625
0.0,0.5,0.75
0.4,0.2,0.4
-1.5,0.5,-0.5
-0.25,0.75,0.5
-2.0,1.0,0.0
1.0,0.5,0.0
0.3333333333333333,0.3333333333333333,0.3333333333333333
0.0,0.8,0.8
-2.0,1.0,0.0
1.0,0.6666666666666666,1.0
0.4,0.4,0.0
1.0,1.0,1.0
-0.2,0.6,0.6
1.0,0.0,2.0
-0.14285714285714285,0.7142857142857143,0.14285714285714285
-1.0,0.5,0.75
-1.0,1.0,2.0
